country,year,iso_code,population,gdp,co2,co2_per_capita,co2_including_luc,co2_per_gdp,coal_co2,gas_co2,oil_co2,cement_co2,land_use_change_co2,land_use_change_co2_per_capita,cumulative_co2,cumulative_luc_co2,total_ghg,total_ghg_excluding_lucf,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,share_global_co2,share_global_luc_co2,temperature_change_from_co2,temperature_change_from_ghg,Forest area (sq. km),Agricultural land (sq. km),Arable land (hectares),global_fossil_total_mtc,global_solid_fuel_mtc,global_liquid_fuel_mtc
India,1850,IND,235732435.0,223302600000.0,,,,,,,,,277.32,1.176,,277.32,372.715,45.396,200.839,0.852,20.668,0.088,,,10.218,,,,,,54,54,
India,1851,IND,236535920.0,224090504000.0,,,,,,,,,213.774,0.904,,491.094,339.2,45.622,201.612,0.852,21.085,0.089,,,7.579,0.0,0.0,,,,54,54,
India,1852,IND,237318415.0,,,,,,,,,,180.308,0.76,,671.403,322.464,45.848,202.385,0.853,21.491,0.091,,,6.181,0.0,0.0,,,,57,57,
India,1853,IND,238079774.0,,,,,,,,,,160.908,0.676,,832.311,315.248,46.074,203.159,0.853,21.88,0.092,,,5.482,0.0,0.0,,,,59,59,
India,1854,IND,238843552.0,,,,,,,,,,147.185,0.616,,979.495,310.721,46.3,203.933,0.854,22.246,0.093,,,4.946,0.0,0.0,,,,70,70,
India,1855,IND,239609756.0,,,,,,,,,,136.086,0.568,,1115.582,306.412,46.525,204.708,0.854,22.582,0.094,,,4.495,0.0,0.001,,,,71,71,0.0
India,1856,IND,240378394.0,,,,,,,,,,128.613,0.535,,1244.195,303.384,46.751,205.484,0.855,22.882,0.095,,,4.225,0.0,0.001,,,,76,76,0.0
India,1857,IND,241149472.0,,,,,,,,,,125.334,0.52,,1369.529,303.243,46.975,206.26,0.855,23.14,0.096,,,4.054,0.0,0.001,,,,77,77,0.0
India,1858,IND,241923000.0,,0.394,0.002,120.039,,0.394,0.0,0.0,,119.645,0.495,0.394,1489.174,301.069,47.669,207.113,0.856,23.349,0.097,,0.138,3.844,0.0,0.001,,,,78,78,0.0
India,1859,IND,242698983.0,,0.636,0.003,115.918,,0.636,0.0,0.0,,115.281,0.475,1.031,1604.455,299.398,48.18,207.937,0.857,23.502,0.097,,0.21,3.653,0.0,0.001,,,,83,83,0.0
India,1860,IND,243477427.0,,0.643,0.003,115.255,,0.643,0.0,0.0,,114.612,0.471,1.674,1719.067,300.258,48.41,208.717,0.857,23.594,0.097,,0.194,3.958,0.0,0.001,,,,91,91,0.0
India,1861,IND,244258342.0,219618560000.0,0.497,0.002,111.724,0.002,0.497,0.0,0.0,,111.227,0.455,2.171,1830.293,299.071,48.457,209.468,0.858,23.647,0.097,,0.142,4.02,0.0,0.001,,,,95,95,0.0
India,1862,IND,245041734.0,,0.55,0.002,108.871,,0.55,0.0,0.0,,108.321,0.442,2.722,1938.614,298.315,48.741,210.258,0.858,23.69,0.097,,0.155,4.023,0.0,0.001,,,,97,97,0.0
India,1863,IND,245827611.0,,0.61,0.002,108.454,,0.61,0.0,0.0,,107.844,0.439,3.332,2046.458,299.521,49.034,211.05,0.859,23.725,0.097,,0.161,4.05,0.0,0.001,,,,104,103,0.0
India,1864,IND,246615984.0,,0.577,0.002,106.649,,0.577,0.0,0.0,,106.072,0.43,3.908,2152.53,299.221,49.217,211.825,0.859,23.756,0.096,,0.141,3.948,0.0,0.001,,,,112,111,0.0
India,1865,IND,247406860.0,,0.567,0.002,105.228,,0.567,0.0,0.0,,104.661,0.423,4.475,2257.191,299.365,49.428,212.604,0.859,23.785,0.096,,0.13,4.013,0.001,0.002,,,,119,118,0.0
India,1866,IND,248200247.0,,0.64,0.003,105.733,,0.64,0.0,0.0,,105.093,0.423,5.115,2362.285,301.103,49.738,213.401,0.86,23.813,0.096,,0.142,4.01,0.001,0.002,,,,122,122,1.0
