state,climate_zone,activity_type,land_size_hectares,project_age_years,avg_rainfall_mm,forest_cover_pct,soil_organic_carbon,estimated_carbon_credits_tco2e
Tripura,Tropical Wet,Afforestation,99.88,8,2200,73.7,Medium,1046.77
Manipur,Subtropical,Regenerative Agriculture,22.13,8,1500,74.3,Medium,49.56
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,11.07,2,1200,25.1,Medium,10.71
Goa,Tropical Wet,Afforestation,312.57,10,2900,60.0,High,5252.13
Bihar,Humid Subtropical,Afforestation,221.65,1,1100,7.7,Medium,525.98
Haryana,Humid Subtropical,Regenerative Agriculture,139.54,3,600,3.6,Low,86.29
Telangana,Tropical Dry,Regenerative Agriculture,295.05,9,950,24.0,Low,314.69
Madhya Pradesh,Humid Subtropical,Afforestation,41.88,4,1200,25.1,Medium,139.32
Jharkhand,Humid Subtropical,Reforestation,326.23,9,1300,29.6,Medium,2356.06
Telangana,Tropical Dry,Afforestation,418.27,3,950,24.0,Low,757.69
Gujarat,Arid,Afforestation,136.8,8,800,7.6,Low,185.76
Bihar,Humid Subtropical,Reforestation,233.56,2,1100,7.7,Medium,806.81
Chhattisgarh,Humid Subtropical,Reforestation,167.13,4,1400,41.1,Medium,972.37
Maharashtra,Tropical Dry,Reforestation,90.45,9,1100,16.5,Medium,493.55
Maharashtra,Tropical Dry,Afforestation,200.45,2,1100,16.5,Medium,490.84
Jharkhand,Humid Subtropical,Afforestation,79.05,1,1300,29.6,Medium,214.69
Jharkhand,Humid Subtropical,Regenerative Agriculture,129.9,1,1300,29.6,Medium,121.72
Meghalaya,Tropical Wet,Regenerative Agriculture,232.52,5,2800,76.3,High,979.29
Tamil Nadu,Tropical Dry,Regenerative Agriculture,197.07,7,1000,17.4,Medium,225.09
Kerala,Tropical Wet,Regenerative Agriculture,96.74,8,3000,52.3,High,516.33
Mizoram,Tropical Wet,Regenerative Agriculture,179.43,6,2500,84.5,High,766.78
Mizoram,Tropical Wet,Regenerative Agriculture,215.41,1,2500,84.5,High,575.17
Mizoram,Tropical Wet,Reforestation,105.85,7,2500,84.5,High,2008.51
Manipur,Subtropical,Regenerative Agriculture,269.25,1,1500,74.3,Medium,303.07
Uttar Pradesh,Humid Subtropical,Afforestation,259.2,5,1000,6.1,Medium,903.37
Andhra Pradesh,Tropical Dry,Afforestation,122.11,7,900,23.0,Low,292.66
West Bengal,Humid Subtropical,Regenerative Agriculture,52.56,2,1750,18.9,Medium,70.42
Madhya Pradesh,Humid Subtropical,Reforestation,190.77,4,1200,25.1,Medium,868.74
Andhra Pradesh,Tropical Dry,Reforestation,62.0,9,900,23.0,Low,229.15
Jharkhand,Humid Subtropical,Regenerative Agriculture,131.0,4,1300,29.6,Medium,166.19
Rajasthan,Arid,Afforestation,159.34,6,500,4.8,Very Low,143.55
Mizoram,Tropical Wet,Afforestation,68.73,8,2500,84.5,High,983.92
Himachal Pradesh,Subtropical,Regenerative Agriculture,100.34,8,1600,27.1,Medium,230.64
Sikkim,Subtropical,Reforestation,385.54,7,2700,47.3,High,6826.65
Goa,Tropical Wet,Regenerative Agriculture,93.76,1,2900,60.0,High,252.27
Punjab,Humid Subtropical,Afforestation,179.08,1,700,3.6,Medium,336.92
Manipur,Subtropical,Reforestation,70.78,10,1500,74.3,Medium,761.03
West Bengal,Humid Subtropical,Afforestation,366.83,8,1750,18.9,Medium,2541.68
Mizoram,Tropical Wet,Reforestation,258.91,1,2500,84.5,High,2770.69
Uttarakhand,Subtropical,Afforestation,430.6,4,1800,45.4,High,2639.84
Manipur,Subtropical,Reforestation,212.16,3,1500,74.3,Medium,1251.47
Karnataka,Tropical Dry,Afforestation,204.81,7,1300,20.1,Medium,866.24
Arunachal Pradesh,Subtropical,Afforestation,341.09,9,2800,79.3,High,4552.33
Haryana,Humid Subtropical,Reforestation,393.13,4,600,3.6,Low,1004.54
Haryana,Humid Subtropical,Afforestation,128.51,5,600,3.6,Low,311.93
Karnataka,Tropical Dry,Afforestation,181.11,3,1300,20.1,Medium,559.05
Uttar Pradesh,Humid Subtropical,Reforestation,315.25,8,1000,6.1,Medium,1633.5
Meghalaya,Tropical Wet,Reforestation,376.95,9,2800,76.3,High,8849.09
Arunachal Pradesh,Subtropical,Reforestation,226.26,6,2800,79.3,High,3579.23
Assam,Tropical Wet,Afforestation,18.86,5,2700,34.2,Medium,192.1
Uttarakhand,Subtropical,Regenerative Agriculture,217.68,1,1800,45.4,High,354.84
Bihar,Humid Subtropical,Regenerative Agriculture,78.89,6,1100,7.7,Medium,110.89
Nagaland,Tropical Wet,Afforestation,248.5,8,2000,73.9,High,2918.83
Kerala,Tropical Wet,Regenerative Agriculture,150.29,5,3000,52.3,High,626.49
Haryana,Humid Subtropical,Afforestation,254.6,4,600,3.6,Low,561.37
Sikkim,Subtropical,Reforestation,382.26,5,2700,47.3,High,5521.69
Nagaland,Tropical Wet,Regenerative Agriculture,225.58,5,2000,73.9,High,709.18
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,289.27,1,1200,25.1,Medium,251.36
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,95.18,7,1000,6.1,Medium,119.79
Arunachal Pradesh,Subtropical,Afforestation,203.4,6,2800,79.3,High,2102.16
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,173.17,8,1400,41.1,Medium,334.81
Punjab,Humid Subtropical,Reforestation,112.85,10,700,3.6,Medium,504.49
Goa,Tropical Wet,Reforestation,300.2,1,2900,60.0,High,3380.14
Tripura,Tropical Wet,Afforestation,155.29,10,2200,73.7,Medium,1871.38
Meghalaya,Tropical Wet,Reforestation,348.82,10,2800,76.3,High,8291.86
Manipur,Subtropical,Regenerative Agriculture,13.15,2,1500,74.3,Medium,17.16
Goa,Tropical Wet,Regenerative Agriculture,203.25,3,2900,60.0,High,738.82
Bihar,Humid Subtropical,Reforestation,346.26,1,1100,7.7,Medium,955.13
Uttar Pradesh,Humid Subtropical,Reforestation,331.7,6,1000,6.1,Medium,1368.86
Maharashtra,Tropical Dry,Afforestation,143.06,5,1100,16.5,Medium,446.24
Tripura,Tropical Wet,Reforestation,34.9,4,2200,73.7,Medium,417.09
Maharashtra,Tropical Dry,Afforestation,485.07,10,1100,16.5,Medium,2086.99
Manipur,Subtropical,Afforestation,205.42,3,1500,74.3,Medium,837.45
Mizoram,Tropical Wet,Reforestation,385.62,7,2500,84.5,High,7324.76
Karnataka,Tropical Dry,Afforestation,38.51,10,1300,20.1,Medium,197.42
Bihar,Humid Subtropical,Afforestation,333.5,5,1100,7.7,Medium,1273.9
